"path","size_bytes","sha256","classification","committable"
".gitignore","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","historical-reference","false"
"2023-11-22_Transportation_Stage copy/2023-11-22_map_start-end.html","19423","dc94296bbaf78c08318825ce001d56b0e8316f67eb9728bff8a1a2b54b3e94f2","credential-risk","false"
"2023-11-22_Transportation_Stage copy/map_myCurrentPosition.html","5810","941490fab5c6b509c6576d136dedd349f8f91266f26440a3278ea06945b274a6","credential-risk","false"
"2023-11-22_Transportation_Stage copy/Transp-A.html","217","eee024ee480306408dd0210ae74dc3e6270182a5e3af025a6e735292813196c1","historical-reference","false"
"2023-11-22_Transportation_Stage copy/transportation_Stage.html","6961","e339af091956252ab29204d33f376ab1c99e44a6cd228ab78200bbe2c5139de6","historical-reference","false"
"2023-11-22_Transportation_Stage copy/transprotation_Add.html","1349","11ca0991e2d7ece9fd290f2980b298c6375e01d53020704166c2d3e0c07d16f9","historical-reference","false"
"assets/css/Basic_Information_Table.css","4072","9a52aacb91ea9ef9a938ef5190b8bfc08e7fbfaa1e9576cdc90f93d7161cbcc0","historical-reference","false"
"assets/css/Calculation_Result.css","4040","c6841dca9b21cd51ba6548e91c6b0dae723734d8cb5e693212709fe52bdb3bb4","historical-reference","false"
"assets/css/set_Factor.css","3846","8af8cec40e5410afd61f5f9e75bc382238f2534bab90c3f1d027db16d5c03050","historical-reference","false"
"assets/css/signin.css","2077","7a99457bd219bde6202a4d7161f54172e8b8006f4c9ac901b4fbc5a38b000ef6","historical-reference","false"
"assets/css/Trans_Basic_Information_Table.css","4128","618d3b588c8e9565442e061043b3d3dc3d247698913b99dd53e4ff2e0f63f04f","historical-reference","false"
"assets/css/View_Product_Inventory_Form.css","3975","8002acab4b53f382ad83122560e3431b0e83e9db2120f6ac321a8db445db1647","historical-reference","false"
"assets/font/Iansui-Regular.ttf","8564980","e3a9b4175f10ef244d75c7bdb9c06e9decf08d38c08d15348bf5f61da9527045","historical-reference","false"
"assets/images/CarbonFootprint.ico","894","beaa2c3ed7505ce7653cb13458dec46deeda5eae8f3cfbcd60a6232484f061f7","historical-reference","false"
"assets/js/all_Stage.js","2311","7c782523c4b2e0afc3021fce93e475dbdbbe0ec21733f646196be26293c27a17","historical-reference","false"
"assets/js/jquery.js","89946","448ef0632211ba18d7c1557a6d22250820ac3b4465ba2e73b7137f4dc4a31a12","historical-reference","false"
"assets/js/login.js","770","f6c06163189045c1ac094c8939a13b0e7bd037489309ddf48c3a3c497633c81d","historical-reference","false"
"assets/js/register.js","897","58d503f74d34b8ae5e9d2fefcb7167757b705be18f02d389defa5e08c265bad6","historical-reference","false"
"assets/js/set_Coefficient.js","4077","3c496c2a26c7c095c04000480d3c9bb42a509860c51db725eed22582a84c43ca","historical-reference","false"
"assets/js/set_Map.js","16993","6bebd24bb00d89faf44ab766b8103ec4f8fa05fc10365b5df6d358c79873bf12","credential-risk","false"
"assets/js/Stage_Result.js","2511","47143bd1a641362073656b097f80b83e0f4cb13712f99a87b32d7558daf893b5","historical-reference","false"
"assets/js/Transportation_Stage.js","5403","089542fadb5a73c890ed7eb16564c1c22f7e4b85f2e8a1ae48d7274fa2f497fd","historical-reference","false"
"assets/js/Waste_Recycling_Stage.js","3195","4a3e1c17de65cda36bd51231cd45a0e3ae517963eee65e04f89c9b8cdad5f823","historical-reference","false"
"assets/php/dbtools.inc.php","425","cf21be850ecf6c02ceebdb83ef21723c805ad42b16619290300e64e08e91ae80","credential-risk","false"
"assets/temp/0index.php","2066","7328df451d88f641b441993413cd9a33dd3a1aff8b555b2e84d55b913bc28892","historical-reference","false"
"assets/temp/add_materials/add_materials.html","14585","2f5d4327676380992e672b139c29c6ff420c58b59cdec6013e0b0071aca7bd38","historical-reference","false"
"assets/temp/add_materials/add_materials.php","2852","9a33b1ecd9097f5442440c59bb527bdc5269883b9a5d9630690ec4dbc3f634a6","historical-reference","false"
"assets/temp/Add_Row_test.php","1623","e1af1f71bef76bad8017558504223a5efb5c3abfb12b5b143496eac8aa815532","historical-reference","false"
"assets/temp/database/2023-11-23_20-34_整合版_ping.sql","1041544","17cfbe1a15123bc99db4a84ed72ba1ff8d7cbde11f0e7ec0936a5521eecc613c","restricted-data","false"
"assets/temp/database/2023-11-23_from蔡.sql","1039256","89cd707da21466fc1ef790502aa892ccaf4cd36951a0dd06bad7a9afe6ad23b3","restricted-data","false"
"assets/temp/database/2023-11-26_ping.sql","1048230","d94a4754fa9ebf2d1aa416e700f446202e87badbdda7b96613b0f533307c6142","restricted-data","false"
